2020-01,818673.5099999995
2020-02,762716.7599999971
2020-03,812776.4500000017
2020-04,795672.0799999994
2020-05,797627.0299999983
2020-06,793480.1699999989
2020-07,809199.09
2020-08,816095.5699999982
2020-09,790916.4199999995
2020-10,812105.2200000035
2020-11,803482.2499999978
2020-12,811467.6099999964
2021-01,812189.4300000009
2021-02,735153.5600000005
2021-03,821228.0599999984
2021-04,782568.47
2021-05,813270.810000003
2021-06,788282.6800000014
2021-07,817026.9899999953
2021-08,805832.9699999985
2021-09,784507.6199999971
2021-10,814016.7900000003
2021-11,797115.9599999997
2021-12,813463.7200000007
2022-01,816925.1399999994
2022-02,727626.5000000034
2022-03,815663.4199999964
2022-04,792648.32
2022-05,819147.08
2022-06,803031.6600000006
2022-07,813176.8300000003
2022-08,803833.1800000011
2022-09,785521.5599999982
2022-10,809484.8499999959
2022-11,782922.2800000008
2022-12,798514.3799999999
2023-01,810388.4399999995
2023-02,741812.2000000032
2023-03,826800.7599999993
2023-04,784580.8299999979
2023-05,808722.7600000006
2023-06,772168.5799999993
2023-07,822788.1600000069
2023-08,814098.4300000012
2023-09,785134.7599999992
2023-10,814287.1400000004
2023-11,790209.96
2023-12,816451.8699999985
2024-01,813328.8600000016
2024-02,753311.1299999978
2024-03,811927.2099999988
2024-04,780846.9700000029
2024-05,469813.6000000001
